day,date,service_type,line,min_delay
Saturday,2023-01-07T21:51:00Z,Regular,504,9
Saturday,2023-01-07T21:55:00Z,Regular,505,11
Saturday,2023-01-07T23:03:00Z,Regular,506,10
Saturday,2023-01-07T23:53:00Z,Regular,505,35
Saturday,2023-01-07T23:56:00Z,Regular,509,57
Saturday,2023-01-08T00:06:00Z,Regular,511,46
Saturday,2023-01-08T00:33:00Z,Regular,504,10
Saturday,2023-01-08T00:51:00Z,Regular,504,9
Saturday,2023-01-08T01:24:00Z,Regular,505,30
Saturday,2023-01-08T03:01:00Z,Regular,506,10
Saturday,2023-01-08T03:47:00Z,Regular,501,10
Saturday,2023-01-08T04:09:00Z,Regular,505,15
Saturday,2023-01-08T04:14:00Z,Regular,506,16
Saturday,2023-01-07T05:20:00Z,Regular,501,10
Saturday,2023-01-07T05:35:00Z,Regular,506,23
Saturday,2023-01-07T06:30:00Z,Regular,505,10
Saturday,2023-01-07T06:45:00Z,Regular,504,10
Sunday,2023-01-08T07:24:00Z,Night,301,15
Sunday,2023-01-08T10:28:00Z,Regular,510,16
Sunday,2023-01-08T10:54:00Z,Regular,504,10
Sunday,2023-01-08T11:00:00Z,Regular,504,10
Sunday,2023-01-08T13:05:00Z,Regular,505,8
Sunday,2023-01-08T13:27:00Z,Regular,505,10
Sunday,2023-01-08T15:54:00Z,Regular,505,10
Sunday,2023-01-08T15:57:00Z,Regular,501,6
Sunday,2023-01-08T17:06:00Z,Regular,506,15
Sunday,2023-01-08T18:32:00Z,Regular,504,38
Sunday,2023-01-08T20:19:00Z,Regular,504,15
Sunday,2023-01-08T21:32:00Z,Regular,511,12
Sunday,2023-01-08T21:54:00Z,Regular,505,7
Sunday,2023-01-08T22:18:00Z,Regular,511,7
Sunday,2023-01-08T22:54:00Z,Regular,509,8
Sunday,2023-01-08T23:03:00Z,Regular,506,9
Sunday,2023-01-08T23:19:00Z,Regular,510,5
Sunday,2023-01-08T23:52:00Z,Regular,505,8
Sunday,2023-01-09T00:44:00Z,Regular,512,7
Sunday,2023-01-09T02:01:00Z,Regular,504,15
Sunday,2023-01-09T03:21:00Z,Regular,510,10
Sunday,2023-01-09T04:05:00Z,Regular,501,59
Sunday,2023-01-09T04:20:00Z,Regular,506,37
Sunday,2023-01-08T05:33:00Z,Regular,501,10
Sunday,2023-01-08T06:02:00Z,Regular,501,10
Monday,2023-01-09T07:49:00Z,Regular,501,20
Monday,2023-01-09T08:41:00Z,Night,310,41
Monday,2023-01-09T09:23:00Z,Regular,501,115
Monday,2023-01-09T09:33:00Z,Regular,501,36
Monday,2023-01-09T10:52:00Z,Regular,505,8
Monday,2023-01-09T11:13:00Z,Regular,505,8
Monday,2023-01-09T11:16:00Z,Regular,505,8
Monday,2023-01-09T11:36:00Z,Regular,501,6
Monday,2023-01-09T13:32:00Z,Regular,504,5
Monday,2023-01-09T14:19:00Z,Regular,505,9
Monday,2023-01-09T14:21:00Z,Regular,511,9
Monday,2023-01-09T17:15:00Z,Regular,501,8
Monday,2023-01-09T17:49:00Z,Regular,501,8
Monday,2023-01-09T19:37:00Z,Regular,501,7
Monday,2023-01-09T21:16:00Z,Regular,512,12
Monday,2023-01-09T21:18:00Z,Regular,510,52
Monday,2023-01-09T21:28:00Z,Regular,512,20
Monday,2023-01-09T21:43:00Z,Regular,501,7
Monday,2023-01-10T00:33:00Z,Regular,505,90
Monday,2023-01-10T01:21:00Z,Regular,510,20
Monday,2023-01-10T02:56:00Z,Regular,505,89
Monday,2023-01-10T03:01:00Z,Regular,506,89
Monday,2023-01-10T03:06:00Z,Regular,504,77
Monday,2023-01-10T04:11:00Z,Regular,505,19
Monday,2023-01-10T04:20:00Z,Regular,501,10
Monday,2023-01-10T04:39:00Z,Regular,509,11
Monday,2023-01-09T06:40:00Z,Regular,505,10
Tuesday,2023-01-10T08:55:00Z,Night,301,24
Tuesday,2023-01-10T09:20:00Z,Night,310,30
Tuesday,2023-01-10T09:48:00Z,Regular,512,11
